#individual_index individual_rank segment_count edge connectivity
67 0 1 0.00000 0.00000
68 0 1 0.00000 0.00000
69 0 1 0.00000 0.00000
70 0 1 0.00000 0.00000
71 0 1 0.00000 0.00000
72 0 1 0.00000 0.00000
73 0 1 0.00000 0.00000
74 0 1 0.00000 0.00000
75 0 1 0.00000 0.00000
76 0 1 0.00000 0.00000
77 0 1 0.00000 0.00000
78 0 1 0.00000 0.00000
79 0 1 0.00000 0.00000
80 0 1 0.00000 0.00000
81 0 1 0.00000 0.00000
82 0 1 0.00000 0.00000
83 0 1 0.00000 0.00000
84 0 1 0.00000 0.00000
85 0 1 0.00000 0.00000
86 0 1 0.00000 0.00000
87 0 1 0.00000 0.00000
88 0 1 0.00000 0.00000
89 0 1 0.00000 0.00000
90 0 1 0.00000 0.00000
91 0 1 0.00000 0.00000
92 0 1 0.00000 0.00000
93 0 1 0.00000 0.00000
94 0 1 0.00000 0.00000
95 0 1 0.00000 0.00000
96 0 1 0.00000 0.00000
97 0 1 0.00000 0.00000
98 0 1 0.00000 0.00000
99 0 1 0.00000 0.00000
100 0 1 0.00000 0.00000
101 0 1 0.00000 0.00000
102 0 1 0.00000 0.00000
103 0 1 0.00000 0.00000
104 0 1 0.00000 0.00000
105 0 1 0.00000 0.00000
106 0 1 0.00000 0.00000
107 0 1 0.00000 0.00000
108 0 1 0.00000 0.00000
109 0 1 0.00000 0.00000
110 0 1 0.00000 0.00000
111 0 1 0.00000 0.00000
112 0 1 0.00000 0.00000
113 0 1 0.00000 0.00000
114 0 1 0.00000 0.00000
115 0 1 0.00000 0.00000
116 0 1 0.00000 0.00000
117 0 1 0.00000 0.00000
118 0 1 0.00000 0.00000
119 0 1 0.00000 0.00000
120 0 1 0.00000 0.00000
121 0 1 0.00000 0.00000
122 0 1 0.00000 0.00000
123 0 1 0.00000 0.00000
124 0 1 0.00000 0.00000
125 0 1 0.00000 0.00000
126 0 1 0.00000 0.00000
127 0 1 0.00000 0.00000
128 0 1 0.00000 0.00000
129 0 1 0.00000 0.00000
130 0 1 0.00000 0.00000
131 0 1 0.00000 0.00000
132 0 1 0.00000 0.00000
133 0 1 0.00000 0.00000
134 0 1 0.00000 0.00000
135 0 1 0.00000 0.00000
136 0 1 0.00000 0.00000
137 0 1 0.00000 0.00000
138 0 1 0.00000 0.00000
139 0 1 0.00000 0.00000
140 0 1 0.00000 0.00000
141 0 1 0.00000 0.00000
142 0 1 0.00000 0.00000
143 0 1 0.00000 0.00000
144 0 1 0.00000 0.00000
145 0 1 0.00000 0.00000
146 0 1 0.00000 0.00000
147 0 1 0.00000 0.00000
148 0 1 0.00000 0.00000
149 0 1 0.00000 0.00000
150 0 1 0.00000 0.00000
151 0 1 0.00000 0.00000
152 0 1 0.00000 0.00000
153 0 1 0.00000 0.00000
154 0 1 0.00000 0.00000
155 0 1 0.00000 0.00000
156 0 1 0.00000 0.00000
157 0 1 0.00000 0.00000
158 0 1 0.00000 0.00000
159 0 1 0.00000 0.00000
160 0 1 0.00000 0.00000
161 0 1 0.00000 0.00000
162 0 1 0.00000 0.00000
163 0 1 0.00000 0.00000
164 0 1 0.00000 0.00000
165 0 1 0.00000 0.00000
166 0 1 0.00000 0.00000
167 0 1 0.00000 0.00000
168 0 1 0.00000 0.00000
169 0 1 0.00000 0.00000
170 0 1 0.00000 0.00000
171 0 1 0.00000 0.00000
172 0 1 0.00000 0.00000
173 0 1 0.00000 0.00000
174 0 1 0.00000 0.00000
175 0 1 0.00000 0.00000
176 0 1 0.00000 0.00000
177 0 1 0.00000 0.00000
178 0 1 0.00000 0.00000
179 0 1 0.00000 0.00000
180 0 1 0.00000 0.00000
181 0 1 0.00000 0.00000
182 0 1 0.00000 0.00000
183 0 1 0.00000 0.00000
184 0 1 0.00000 0.00000
185 0 1 0.00000 0.00000
186 0 1 0.00000 0.00000
187 0 1 0.00000 0.00000
188 0 1 0.00000 0.00000
189 0 1 0.00000 0.00000
190 0 1 0.00000 0.00000
191 0 1 0.00000 0.00000
192 0 1 0.00000 0.00000
193 0 1 0.00000 0.00000
194 0 1 0.00000 0.00000
195 0 1 0.00000 0.00000
196 0 1 0.00000 0.00000
197 0 1 0.00000 0.00000
198 0 1 0.00000 0.00000
199 0 1 0.00000 0.00000
